N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,두산중공업,"13,450",750,+5.91%,"5,000","50,389","374,637",10.20,"6,474,496",-3.43,-37.20,
60,현대건설,"44,500",450,+1.02%,"5,000","49,553","111,356",19.50,"862,586",40.53,1.84,
61,신풍제약,"92,700",700,+0.76%,500,"49,117","52,985",11.72,"621,444","1,018.68",1.72,
62,삼성중공업,"7,750",510,+7.04%,"5,000","48,825","630,000",15.82,"49,357,301",-3.29,-33.06,
63,이마트,"174,000","1,500",-0.85%,"5,000","48,504","27,876",30.19,"62,224",13.41,4.05,
64,코웨이,"65,300",0,0.00%,500,"48,191","73,800",58.61,"134,424",11.90,31.51,
65,한국금융지주,"86,400",400,-0.46%,"5,000","48,147","55,726",31.52,"146,645",6.16,16.27,
66,LG이노텍,"201,500","4,000",-1.95%,"5,000","47,689","23,667",30.14,"112,631",20.20,10.20,
67,KODEX 200,"41,975",70,+0.17%,0,"47,600","113,400",10.17,"2,944,671",N/A,N/A,
68,SKC,"125,000","3,000",+2.46%,"5,000","47,335","37,868",8.80,"171,312",126.39,2.21,
69,현대중공업지주,"296,000","5,000",+1.72%,"5,000","46,764","15,799",17.77,"83,296",-38.79,-8.12,
70,맥쿼리인프라,"11,700",100,+0.86%,0,"43,547","372,192",15.20,"658,000",N/A,N/A,
71,녹십자,"371,500","14,500",+4.06%,"5,000","43,415","11,687",18.63,"69,562",53.57,7.48,
72,CJ대한통운,"190,000","5,000",+2.70%,"5,000","43,343","22,812",21.90,"58,197",35.23,3.89,
73,유한양행,"61,300",400,-0.65%,"1,000","42,893","69,973",19.29,"100,111",22.63,11.06,
74,두산밥캣,"42,450","2,900",+7.33%,500,"42,556","100,249",23.39,"795,179",17.20,6.15,
75,삼성카드,"33,800",50,-0.15%,"5,000","39,160","115,859",11.26,"51,969",9.50,5.04,
76,한미사이언스,"57,700","1,000",-1.70%,500,"38,835","67,305",1.56,"64,675",171.73,3.47,
77,쌍용양회,"7,650",100,+1.32%,100,"38,545","503,860",3.60,"5,244,492",27.92,7.92,
78,한진칼,"57,800",800,-1.37%,"2,500","38,300","66,263",15.47,"41,660",-12.91,-19.55,
79,한미약품,"315,000","2,000",-0.63%,"2,500","38,047","12,078",13.34,"26,044",318.18,1.65,
80,GS건설,"44,500","1,050",+2.42%,"5,000","38,043","85,491",26.05,"1,303,889",11.44,7.68,
81,한국항공우주,"37,600",200,+0.53%,"5,000","36,651","97,475",13.67,"611,145",49.09,6.39,
82,GS,"38,900",50,-0.13%,"5,000","36,144","92,915",18.06,"161,073",-15.18,-2.82,
83,롯데쇼핑,"127,000",0,0.00%,"5,000","35,927","28,289",12.28,"51,231",-4.57,-7.70,
84,현대차2우B,"97,400",300,-0.31%,"5,000","35,537","36,485",60.65,"55,555",18.94,N/A,
85,롯데지주,"33,750",100,+0.30%,200,"35,407","104,909",10.93,"89,224",-18.01,-3.03,
86,팬오션,"6,620",210,-3.07%,"1,000","35,388","534,570",10.60,"9,047,637",38.27,3.25,
87,삼성증권,"39,150",100,-0.25%,"5,000","34,961","89,300",27.08,"178,319",7.43,8.15,
88,두산퓨얼셀,"52,200","1,300",+2.55%,100,"34,188","65,494",18.51,"550,379",270.47,4.18,
89,호텔신라,"86,300",900,-1.03%,"5,000","33,871","39,248",18.44,"247,236",-12.18,-36.74,
90,DB손해보험,"45,800",300,+0.66%,500,"32,426","70,800",42.08,"107,291",5.83,6.92,
91,NH투자증권,"11,450",50,-0.43%,"5,000","32,221","281,409",16.46,"334,766",5.96,10.32,
92,대우조선해양,"29,950","1,500",+5.27%,"5,000","32,134","107,291",9.08,"1,374,095",37.11,2.27,
93,키움증권,"123,500","3,500",-2.76%,"5,000","32,108","25,998",23.00,"152,229",5.45,16.97,
94,일진머티리얼즈,"68,900","2,000",+2.99%,500,"31,770","46,111",9.06,"320,944",71.47,8.52,
95,씨에스윈드,"75,000",300,+0.40%,500,"31,629","42,171",9.92,"589,439",88.76,8.19,
96,동서,"31,650","1,250",-3.80%,500,"31,555","99,700",3.96,"219,036",26.96,8.61,
97,에스원,"82,100",600,-0.73%,500,"31,197","37,999",56.12,"22,212",21.96,10.48,
98,한국가스공사,"33,200",400,+1.22%,"5,000","30,648","92,313",9.06,"176,632",-17.81,-2.24,
99,SK케미칼,"260,500","9,500",-3.52%,"5,000","30,586","11,741",20.26,"122,509",13.52,30.49,
100,만도,"65,000","1,400",-2.11%,"1,000","30,522","46,957",24.14,"410,146",528.46,0.37,
101,더존비즈온,"98,900","1,100",-1.10%,500,"29,947","30,280",44.50,"120,122",54.76,15.09,
102,메리츠증권,"4,360",10,-0.23%,"1,000","29,472","675,962",14.45,"837,170",5.34,15.06,
103,GS리테일,"37,950",700,-1.81%,"1,000","29,222","77,000",15.54,"117,053",17.35,7.50,
104,LG화학우,"375,000","3,000",+0.81%,"5,000","28,833","7,689",63.80,"9,981",57.26,N/A,
105,OCI,"119,000","8,000",+7.21%,"5,000","28,381","23,849",18.41,"538,345",-11.53,-9.89,
106,BGF리테일,"161,000","2,500",-1.53%,"1,000","27,827","17,284",32.26,"13,766",22.68,18.60,
107,대우건설,"6,690",220,+3.40%,"5,000","27,805","415,623",9.02,"5,596,482",9.80,11.06,
108,한샘,"117,000","3,000",+2.63%,"1,000","27,535","23,534",24.03,"92,382",42.31,10.83,
109,한솔케미칼,"242,500","1,000",-0.41%,"5,000","27,488","11,335",40.02,"45,558",22.32,24.50,
110,삼성엔지니어링,"14,000",300,+2.19%,"5,000","27,440","196,000",24.67,"2,610,927",11.21,16.75,
111,신세계,"278,500","3,000",-1.07%,"5,000","27,419","9,845",25.82,"35,193",-26.49,-2.81,
112,CJ,"93,600",600,-0.64%,"5,000","27,310","29,177",18.97,"42,895",15.55,6.24,
113,휠라홀딩스,"43,950",700,-1.57%,"1,000","26,701","60,752",44.88,"389,112",19.23,10.94,
114,하이트진로,"37,750",500,-1.31%,"5,000","26,475","70,134",7.43,"245,315",31.04,8.23,
115,현대미포조선,"66,100","2,400",+3.77%,"5,000","26,402","39,942",13.50,"835,716",-135.45,-0.84,
116,한화생명,"2,995",40,-1.32%,"5,000","26,012","868,530",6.84,"2,505,672",11.05,1.90,
117,현대오토에버,"121,000","4,000",-3.20%,500,"25,410","21,000",2.14,"34,760",43.08,11.09,
118,효성티앤씨,"586,000","25,000",-4.09%,"5,000","25,360","4,328",19.14,"84,855",18.54,25.10,
119,TIGER 200,"41,825",50,+0.12%,0,"25,200","60,250",0.00,"361,882",N/A,N/A,
120,제일기획,"21,550",200,+0.94%,200,"24,791","115,041",32.71,"282,427",15.75,16.11,
121,두산인프라코어,"11,350","1,100",+10.73%,"5,000","24,580","216,564",8.71,"18,075,955",16.05,6.47,
122,포스코인터내셔널,"19,900",550,-2.69%,"5,000","24,552","123,375",9.72,"1,326,405",10.29,7.69,
123,DB하이텍,"55,200",100,-0.18%,"5,000","24,508","44,399",18.18,"325,447",14.80,23.07,
124,DL이앤씨,"124,500",0,0.00%,"5,000","24,102","19,359",20.27,"202,326",N/A,N/A,
125,현대차우,"98,500",400,-0.40%,"5,000","23,991","24,357",56.68,"78,409",19.15,N/A,
126,한화,"30,600",400,+1.32%,"5,000","22,937","74,959",19.60,"307,937",14.01,4.79,
127,현대로템,"20,550",0,0.00%,"5,000","22,429","109,142",5.88,"928,342",63.23,2.84,
128,LS,"69,500","3,500",+5.30%,"5,000","22,379","32,200",14.26,"258,772",17.64,3.94,
129,BNK금융지주,"6,820",80,+1.19%,"5,000","22,229","325,935",39.22,"824,688",4.63,7.07,
130,대한유화,"336,500","4,500",+1.36%,"5,000","21,872","6,500",21.31,"44,191",17.19,6.93,
131,메리츠화재,"17,800",50,+0.28%,500,"21,471","120,625",10.64,"197,950",5.22,12.80,
132,현대해상,"23,950",450,+1.91%,500,"21,411","89,400",37.57,"315,328",5.88,6.23,
133,한화시스템,"19,300",900,-4.46%,"5,000","21,274","110,230",3.50,"2,729,327",22.73,9.35,
134,현대백화점,"90,400","1,400",+1.57%,"5,000","21,156","23,402",16.26,"183,292",30.08,1.65,
135,현대위아,"77,400",400,-0.51%,"5,000","21,049","27,195",9.51,"180,255",34.52,1.96,
136,KCC,"236,500","7,000",+3.05%,"5,000","21,016","8,886",12.50,"65,683",3.53,12.79,
137,한화에어로스페이스,"41,450","1,450",+3.63%,"5,000","20,986","50,630",17.72,"638,119",17.36,4.78,
138,오뚜기,"571,000","2,000",+0.35%,"5,000","20,967","3,672",16.52,"1,498",19.49,7.93,
139,메리츠금융지주,"15,300",0,0.00%,500,"20,504","134,011",8.06,"69,655",4.40,15.26,
140,F&F,"131,500","1,500",+1.15%,500,"20,251","15,400",10.73,"74,810",23.60,16.59,
141,HDC현대산업개발,"30,350",300,+1.00%,"5,000","20,003","65,907",11.08,"514,099",8.44,8.85,
142,KODEX 단기채권,"102,765",0,0.00%,0,"19,909","19,373",0.00,"28,555",N/A,N/A,
143,KODEX 200선물인버스2X,"2,125",5,-0.23%,0,"19,476","916,500",1.88,"146,705,376",N/A,N/A,
144,대웅,"33,250",800,+2.47%,500,"19,332","58,142",5.08,"115,140",19.65,15.10,
145,현대엘리베이,"46,600","1,300",+2.87%,"5,000","19,020","40,815",28.27,"608,586",19.68,9.78,
146,효성,"86,800",600,-0.69%,"5,000","18,290","21,071",8.72,"75,950",-34.66,-2.26,
147,LS ELECTRIC,"60,900","1,300",+2.18%,"5,000","18,270","30,000",13.98,"113,653",21.45,6.15,
148,KODEX 레버리지,"26,125",75,+0.29%,0,"18,235","69,800",3.80,"18,259,321",N/A,N/A,
